[2026-06-04 13:44:39,835] INFO in request_logger: POST | /auth/signup | IP=127.0.0.1 | STATUS=201
[2026-06-06 01:16:34,970] INFO in request_logger: POST | /auth/login | IP=127.0.0.1 | STATUS=0
[2026-06-06 01:16:35,636] INFO in request_logger: POST | /auth/login | IP=127.0.0.1 | STATUS=200
[2026-06-06 01:16:54,521] INFO in request_logger: POST | /predictions/predict | IP=127.0.0.1 | STATUS=0
[2026-06-06 01:16:56,036] INFO in request_logger: POST | /predictions/predict | IP=127.0.0.1 | STATUS=200
[2026-06-06 01:17:06,471] INFO in request_logger: GET | /dashboard | IP=127.0.0.1 | STATUS=0
[2026-06-06 01:17:06,549] INFO in request_logger: GET | /dashboard | IP=127.0.0.1 | STATUS=200
[2026-06-06 01:21:00,696] INFO in request_logger: POST | /auth/login | IP=127.0.0.1 | STATUS=0
[2026-06-06 01:21:01,045] INFO in request_logger: POST | /auth/login | IP=127.0.0.1 | STATUS=200
[2026-06-06 01:21:19,257] INFO in request_logger: POST | /predictions/predict | IP=127.0.0.1 | STATUS=0
[2026-06-06 01:21:20,067] INFO in request_logger: POST | /predictions/predict | IP=127.0.0.1 | STATUS=200
[2026-06-06 01:21:37,074] INFO in request_logger: GET | /dashboard | IP=127.0.0.1 | STATUS=0
[2026-06-06 01:21:38,668] INFO in request_logger: GET | /dashboard | IP=127.0.0.1 | STATUS=200
[2026-06-15 12:41:03,687] INFO in request_logger: POST | /auth/signup | IP=127.0.0.1 | STATUS=0
[2026-06-15 12:41:03,734] INFO in request_logger: POST | /auth/signup | IP=127.0.0.1 | STATUS=400
[2026-06-15 12:41:09,473] INFO in request_logger: POST | /auth/login | IP=127.0.0.1 | STATUS=0
[2026-06-15 12:41:11,509] INFO in request_logger: POST | /auth/login | IP=127.0.0.1 | STATUS=200
[2026-06-15 12:41:27,149] INFO in request_logger: POST | /predictions/predict | IP=127.0.0.1 | STATUS=0
[2026-06-15 12:41:32,986] INFO in request_logger: POST | /predictions/predict | IP=127.0.0.1 | STATUS=200
[2026-06-15 12:42:09,440] INFO in request_logger: POST | /predictions/save | IP=127.0.0.1 | STATUS=0
[2026-06-15 12:42:11,401] INFO in request_logger: POST | /predictions/save | IP=127.0.0.1 | STATUS=201
[2026-06-15 12:42:21,917] INFO in request_logger: GET | /dashboard | IP=127.0.0.1 | STATUS=0
[2026-06-15 12:42:23,546] INFO in request_logger: GET | /dashboard | IP=127.0.0.1 | STATUS=200
[2026-06-15 12:50:24,598] INFO in request_logger: POST | /predictions/save | IP=127.0.0.1 | STATUS=0
[2026-06-15 12:50:26,249] INFO in request_logger: POST | /predictions/save | IP=127.0.0.1 | STATUS=201
[2026-06-15 12:50:46,360] INFO in request_logger: POST | /predictions/save | IP=127.0.0.1 | STATUS=0
[2026-06-15 12:50:47,012] INFO in request_logger: POST | /predictions/save | IP=127.0.0.1 | STATUS=201
[2026-06-15 12:50:53,682] INFO in request_logger: GET | /dashboard | IP=127.0.0.1 | STATUS=0
[2026-06-15 12:50:54,339] INFO in request_logger: GET | /dashboard | IP=127.0.0.1 | STATUS=200
[2026-06-17 10:09:16,777] INFO in request_logger: POST | /auth/signup | IP=127.0.0.1 | STATUS=0
[2026-06-17 10:09:20,220] INFO in request_logger: POST | /auth/signup | IP=127.0.0.1 | STATUS=201
[2026-06-17 10:09:28,182] INFO in request_logger: POST | /auth/login | IP=127.0.0.1 | STATUS=0
[2026-06-17 10:09:28,489] INFO in request_logger: POST | /auth/login | IP=127.0.0.1 | STATUS=200
[2026-06-17 10:09:45,932] INFO in request_logger: POST | /predict | IP=127.0.0.1 | STATUS=0
[2026-06-17 10:09:45,968] INFO in request_logger: POST | /predict | IP=127.0.0.1 | STATUS=404
[2026-06-17 10:09:57,985] INFO in request_logger: POST | /predictions/predict | IP=127.0.0.1 | STATUS=0
[2026-06-17 10:09:58,022] INFO in request_logger: POST | /predictions/predict | IP=127.0.0.1 | STATUS=400
[2026-06-17 10:10:13,556] INFO in request_logger: POST | /predictions/predict | IP=127.0.0.1 | STATUS=0
[2026-06-17 10:10:17,816] INFO in request_logger: POST | /predictions/predict | IP=127.0.0.1 | STATUS=200
[2026-06-17 10:10:29,101] INFO in request_logger: POST | /predictions/save | IP=127.0.0.1 | STATUS=0
[2026-06-17 10:10:29,182] INFO in request_logger: POST | /predictions/save | IP=127.0.0.1 | STATUS=201
[2026-06-17 10:10:42,516] INFO in request_logger: GET | /dashboard | IP=127.0.0.1 | STATUS=0
[2026-06-17 10:10:42,590] INFO in request_logger: GET | /dashboard | IP=127.0.0.1 | STATUS=200
[2026-06-17 10:11:31,020] INFO in request_logger: GET | /predictions/13c3b86f524e4b9792cb842356e7744f | IP=127.0.0.1 | STATUS=0
[2026-06-17 10:11:31,021] INFO in request_logger: GET | /predictions/13c3b86f524e4b9792cb842356e7744f | IP=127.0.0.1 | STATUS=401
[2026-06-17 10:11:49,158] INFO in request_logger: GET | /predictions/13c3b86f524e4b9792cb842356e7744f | IP=127.0.0.1 | STATUS=0
[2026-06-17 10:11:49,234] INFO in request_logger: GET | /predictions/13c3b86f524e4b9792cb842356e7744f | IP=127.0.0.1 | STATUS=200
[2026-06-17 10:11:59,147] INFO in request_logger: DELETE | /predictions/13c3b86f524e4b9792cb842356e7744f | IP=127.0.0.1 | STATUS=0
[2026-06-17 10:11:59,261] INFO in request_logger: DELETE | /predictions/13c3b86f524e4b9792cb842356e7744f | IP=127.0.0.1 | STATUS=200
